REGION,DISTRICT,WARD,SCHOOL NAME,SCHOOL REG. NUMBER,NECTA EXAM CENTRE NO.,SCHOOL OWNERSHIP,Form 1-Boys,Form 1-Girls,Form 2-Boys,Form 2-Girls,Form 3-Boys,Form 3-Girls,Form 4-Boys,Form 4-Girls,Form 5-Boys,Form 5-Girls,Form 6-Boys,Form 6-Girls,Total Boys,Total Girls,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Pass Rate (2016),AVERAGE GPA 2016,BAND OF SCHOOL 2016,BAND OF SCHOOL 2015,RANK OF SCHOOL 2016,RANK OF SCHOOL 2015,Candidates
KIGOMA,UVINZA,IGALULA,LAGOSA,S.4208,S4307,GOVERNMENT,91,32,49,20,18,2,8,5,,,,,166,59,5,0,5,0,45.0,45.0,63,4.4239,8,9,1149,985,LESS THAN 40
KIGOMA,KIGOMA,KALINZI,MKABOGO,S.4209,S4308,GOVERNMENT,47,40,31,18,18,13,17,12,,,,,113,83,10,2,9,2,16.3,17.8,76,4.0764,7,7,596,613,LESS THAN 40
TANGA,BUMBULI,MPONDE,KWEMVUMO,S.421,S0642,NON-GOVERNMENT,3,3,14,18,15,18,22,24,,,,,54,63,6,1,4,1,16.7,23.4,97,3.8086,6,7,715,1524,MORE THAN 40
KIGOMA,KIGOMA,MWANDIGA,MUNGONYA,S.4210,S4309,GOVERNMENT,41,29,47,24,25,10,14,10,,,,,127,73,13,13,11,12,7.7,8.7,84,3.9738,6,7,449,1809,LESS THAN 40
KIGOMA,KIGOMA/UJIJI MC,RUBUGA,RUBUGA,S.4211,S4265,GOVERNMENT,74,34,31,7,12,7,26,13,,,,,143,61,12,5,12,5,12.0,12.0,84,4.1264,7,9,688,3226,LESS THAN 40
KIGOMA,KIGOMA/UJIJI MC,BANGWE,BUTEKO,S.4212,S4266,GOVERNMENT,62,70,61,51,45,22,54,40,,,,,222,183,16,12,16,12,14.5,14.5,72,4.3835,8,8,2389,2746,MORE THAN 40
MBEYA,BUSOKELO,KABULA,MPATA,S.4213,S4239,GOVERNMENT,16,19,10,18,11,19,4,6,,,,,41,62,11,0,11,0,9.4,9.4,55,4.5272,9,9,1269,1085,LESS THAN 40
GEITA,GEITA,KAGU,LWEMO,S.4214,S4338,GOVERNMENT,172,129,113,122,63,31,37,18,,,,,385,300,16,7,13,7,29.8,34.3,91,3.7856,6,6,687,777,MORE THAN 40
TANGA,PANGANI,MWERA,KIPUMBWI,S.4215,S4304,GOVERNMENT,62,65,47,55,17,12,9,16,,,,,135,148,16,8,16,8,11.8,11.8,48,4.4889,8,10,1219,3389,LESS THAN 40
TANGA,PANGANI,MKWAJA,MKWAJA,S.4216,S4305,GOVERNMENT,19,20,25,24,11,11,10,12,,,,,65,67,9,3,9,3,11.0,11.0,52,4.5002,9,0,1231,0,LESS THAN 40
KAGERA,MULEBA,KATOKE,KATOKE LWERU,S.4217,S4294,NON-GOVERNMENT,37,46,46,35,55,53,48,57,37,15,26,22,249,228,16,7,13,3,20.7,29.8,100,2.9364,4,4,213,202,MORE THAN 40
KAGERA,BUKOBA,NYAKIBIMBILI,NYAKIBIMBILI,S.4218,S4301,GOVERNMENT,28,36,35,34,42,42,34,38,,,,,139,150,5,5,5,5,28.9,28.9,65,4.3715,8,9,1072,3209,LESS THAN 40
KAGERA,BIHARAMULO,RUNAZI,RWAGATI,S.4219,S4302,GOVERNMENT,82,68,51,50,52,40,35,7,,,,,220,165,14,6,11,6,19.3,22.6,96,3.7101,6,6,604,467,MORE THAN 40
ARUSHA,ARUSHA CC,THEMI,ARUSHA DAY,S.422,S0781,GOVERNMENT,87,125,150,141,126,138,102,88,,,,,465,492,12,28,9,24,23.9,29.0,94,3.348,5,6,374,587,MORE THAN 40
KAGERA,BIHARAMULO,NEMBA,NEMBA,S.4220,S4303,GOVERNMENT,78,59,57,32,39,26,17,13,,,,,191,130,17,3,13,3,16.1,20.1,92,3.8879,6,6,360,260,LESS THAN 40
KIGOMA,KAKONKO,KANYONZA,KANYONZA,S.4222,S4320,GOVERNMENT,51,49,55,65,42,48,44,33,,,,,192,195,15,4,15,4,20.4,20.4,85,4.0021,7,7,1044,1639,MORE THAN 40
TANGA,LUSHOTO,KILOLE,MARIAM MSHANGAMA,S.4223,S4296,GOVERNMENT,,,13,31,7,11,3,2,,,,,23,44,10,3,10,3,5.2,5.2,33,4.769,10,10,1417,1155,LESS THAN 40
TANGA,LUSHOTO,MBARU,KALUMELE,S.4224,S4297,GOVERNMENT,20,21,31,92,31,44,17,26,,,,,99,183,7,3,7,3,28.2,28.2,59,4.261,7,6,1900,828,MORE THAN 40
TANGA,LUSHOTO,MIGAMBO,MIGAMBO,S.4225,S4298,GOVERNMENT,19,33,22,31,21,20,14,15,,,,,76,99,12,4,12,4,10.9,10.9,69,4.2622,7,8,919,894,LESS THAN 40
TANGA,LUSHOTO,MWANGOI,SHITA,S.4226,S4299,GOVERNMENT,18,43,48,87,9,33,16,24,,,,,91,187,16,8,16,6,11.6,12.6,60,4.3854,8,9,2397,3025,MORE THAN 40
TANGA,LUSHOTO,KILOLE,MAKOLE JUU,S.4227,S4300,GOVERNMENT,2,1,15,7,7,12,3,5,,,,,27,25,8,0,8,0,6.5,6.5,50,4.5413,9,10,1290,1161,LESS THAN 40
SINGIDA,SINGIDA MC,MISUNA,KIMPUNGUA,S.4228,S4292,GOVERNMENT,44,54,38,47,32,30,8,18,,,,,122,149,9,10,9,9,14.3,15.1,66,4.2401,7,8,1819,2662,MORE THAN 40
ARUSHA,ARUSHA CC,THEMI,RENEA GIRLS',S.4229,S4281,NON-GOVERNMENT,0,45,0,73,0,54,0,42,,,,,0,214,7,3,7,3,21.4,21.4,100,3.3022,5,4,109,80,LESS THAN 40
MANYARA,BABATI,DAREDA,DAREDA,S.423,S0643,GOVERNMENT,80,109,85,120,55,97,41,65,57,66,73,65,391,522,29,20,25,19,18.6,20.8,64,4.1265,7,8,1390,2056,MORE THAN 40
MANYARA,HANANG,MOGITU,DUMBETA,S.4230,S5050,GOVERNMENT,33,69,19,33,10,15,13,14,,,,,75,131,13,6,13,6,10.8,10.8,73,4.0866,7,7,1268,1008,MORE THAN 40
MANYARA,HANANG,MOGITU,GABADAW,S.4231,S5048,GOVERNMENT,24,27,10,9,4,12,4,10,,,,,42,58,9,3,9,3,8.3,8.3,88,4.0278,7,6,528,338,LESS THAN 40
MANYARA,BABATI,NAR,NAR,S.4232,S4684,GOVERNMENT,14,25,22,27,17,14,7,19,,,,,60,85,11,0,9,0,13.2,16.1,100,3.3679,5,6,122,693,LESS THAN 40
MANYARA,BABATI,NAR,ENDAMANANG,S.4233,S4710,GOVERNMENT,27,15,11,17,20,42,13,21,,,,,71,95,13,1,13,1,11.9,11.9,96,3.4677,5,5,432,449,MORE THAN 40
MANYARA,BABATI,MADUNGA,UTWARI,S.4234,S4727,GOVERNMENT,18,37,34,43,19,31,16,31,,,,,87,142,13,4,12,3,13.5,15.3,92,3.5329,6,6,476,737,MORE THAN 40
PWANI,KISARAWE,KISARAWE,KIMANI,S.4235,S5096,GOVERNMENT,39,47,54,47,31,42,43,38,,,,,167,174,25,20,25,20,7.6,7.6,67,4.0913,7,8,1286,1970,MORE THAN 40
KILIMANJARO,MWANGA,MWANGA,DR. ASHA-ROSE MIGIRO,S.4236,S4334,GOVERNMENT,0,71,0,78,0,65,0,73,,,,,0,287,16,14,9,10,9.6,15.1,96,3.4892,5,6,449,816,MORE THAN 40
KILIMANJARO,MWANGA,MGAGAO,MGAGAO,S.4237,S4335,GOVERNMENT,13,24,28,25,9,18,12,9,,,,,62,76,14,6,14,6,6.9,6.9,53,4.4112,8,9,1132,3338,LESS THAN 40
MANYARA,MBULU TC,NAHASEY,SOHEDA,S.4238,S4987,GOVERNMENT,30,39,12,19,23,15,9,22,,,,,74,95,12,0,12,0,14.1,14.1,73,4.2319,7,7,1774,1598,MORE THAN 40
MANYARA,MBULU,MARETADU,MARETADU JUU,S.4239,S4499,GOVERNMENT,29,44,53,51,39,49,33,42,,,,,154,186,10,4,10,4,24.3,24.3,76,4.0006,7,7,1038,1400,MORE THAN 40
ARUSHA,MONDULI,ESILALEI,MANYARA,S.424,S0693,GOVERNMENT,113,89,95,98,70,75,147,53,,,,,425,315,30,23,30,23,14.0,14.0,74,4.2458,7,7,1838,1805,MORE THAN 40
MANYARA,MBULU,HAYDARER,HAYDERER,S.4240,S4507,GOVERNMENT,23,42,24,40,21,30,21,16,,,,,89,128,16,2,16,2,12.1,12.1,59,4.3686,8,8,2334,2278,MORE THAN 40
MTWARA,NEWALA,CHIHANGU,CHIHANGU,S.4241,S5013,GOVERNMENT,25,41,16,19,10,9,8,3,,,,,59,72,7,1,7,1,16.4,16.4,36,4.6124,9,6,1355,341,LESS THAN 40
MTWARA,NEWALA TC,MNEKACHI,NAMBUNGA,S.4242,S5008,GOVERNMENT,28,16,27,29,30,15,8,7,,,,,93,67,9,4,9,4,12.3,12.3,50,4.4091,8,7,1128,1032,LESS THAN 40
MANYARA,SIMANJIRO,EMBOREET,EMBOREET,S.4243,S4861,GOVERNMENT,56,63,38,35,11,10,9,8,,,,,114,116,13,4,13,4,13.5,13.5,54,4.3731,8,10,1077,1138,LESS THAN 40
KILIMANJARO,MOSHI,KILEMA KUSINI,ST. AMEDEUS,S.4244,S4405,NON-GOVERNMENT,170,0,110,0,110,0,129,0,114,0,38,0,671,0,20,9,19,8,23.1,24.9,100,1.8771,2,2,17,25,MORE THAN 40
MARA,RORYA,RARANYA,RARANYA,S.4245,S4909,GOVERNMENT,73,68,97,100,48,30,47,29,,,,,265,227,15,7,15,5,22.4,24.6,83,4.2581,7,9,1887,3139,MORE THAN 40
KATAVI,MPIMBWE,MBEDE,MBEDE,S.4246,S5153,GOVERNMENT,73,41,48,29,40,30,44,6,,,,,205,106,15,5,15,5,15.6,15.6,88,3.9703,6,6,444,731,LESS THAN 40
KATAVI,MPANDA,KATUMA,ILANDAMILUMBA,S.4247,S4980,GOVERNMENT,79,87,53,53,38,28,12,8,,,,,182,176,16,1,16,1,21.1,21.1,78,4.1655,7,7,757,553,LESS THAN 40
KATAVI,NSIMBO,MTAPENDA,MTAPENDA,S.4248,S5152,GOVERNMENT,80,66,41,35,20,12,9,6,,,,,150,119,9,1,3,1,26.9,67.3,82,3.9006,6,9,372,978,LESS THAN 40
RUKWA,NKASI,KORONGWE,KORONGWE,S.4249,S5020,GOVERNMENT,77,46,48,14,26,4,13,6,,,,,164,70,10,0,6,0,23.4,39.0,85,3.8822,6,7,354,543,LESS THAN 40
SINGIDA,MANYONI,MANYONI,MWANZI,S.425,S0662,GOVERNMENT,81,88,73,106,56,49,55,39,39,29,39,18,343,329,17,18,17,18,19.2,19.2,68,4.188,7,8,1605,2284,MORE THAN 40
RUKWA,NKASI,ISALE,ISALE,S.4250,S4447,GOVERNMENT,35,39,27,19,15,21,20,12,,,,,97,91,6,3,6,3,20.9,20.9,89,3.806,6,6,295,325,LESS THAN 40
RUKWA,NKASI,MTENGA,MASHETE,S.4251,S4470,GOVERNMENT,38,47,28,26,24,19,6,9,,,,,96,101,13,2,13,2,13.1,13.1,81,4.0385,7,7,541,363,LESS THAN 40
MBEYA,RUNGWE,SWAYA,ZIWA NGOSI,S.4252,S4406,GOVERNMENT,28,26,34,29,28,32,14,23,,,,,104,110,20,6,19,6,8.2,8.6,35,4.6928,9,8,3233,810,MORE THAN 40
NJOMBE,WANGING'OMBE,ITULAHUMBA,ITULAHUMBA,S.4253,S4593,NON-GOVERNMENT,16,13,17,20,13,12,14,24,5,5,9,12,74,86,12,2,9,2,11.4,14.5,100,2.9857,4,4,67,64,LESS THAN 40
DAR ES SALAAM,UBUNGO,KIBAMBA,GOGONI,S.4254,S4938,GOVERNMENT,78,108,89,70,68,61,33,82,,,,,268,321,8,23,8,23,19.0,19.0,73,4.1653,7,9,1521,3037,MORE THAN 40
DAR ES SALAAM,UBUNGO,KIBAMBA,KIBWEHERI,S.4255,S4471,GOVERNMENT,55,59,54,54,19,30,50,69,,,,,178,212,7,20,7,20,14.4,14.4,73,4.2096,7,9,1680,3362,MORE THAN 40
DAR ES SALAAM,KINONDONI MC,MABWEPANDE,NJECHELE,S.4256,S4553,GOVERNMENT,84,73,33,32,43,33,35,54,,,,,195,192,12,12,12,12,16.1,16.1,47,4.5584,9,9,3025,2947,MORE THAN 40
DAR ES SALAAM,UBUNGO,MAKURUMLA,MAKURUMLA,S.4257,S4506,GOVERNMENT,238,213,198,226,159,172,136,156,,,,,731,767,16,20,16,20,41.6,41.6,41,4.5214,9,7,2933,1135,MORE THAN 40
DAR ES SALAAM,UBUNGO,MABIBO,MABIBO,S.4258,S4403,GOVERNMENT,240,209,188,217,144,130,130,112,,,,,702,668,10,39,9,37,28.0,29.8,47,4.5523,9,9,3012,3298,MORE THAN 40
DAR ES SALAAM,KINONDONI MC,MAKONGO,MAKONGO JUU,S.4259,S4497,GOVERNMENT,170,212,124,122,114,104,59,103,,,,,467,541,3,29,3,29,31.5,31.5,62,4.2887,7,8,2007,1924,MORE THAN 40
MTWARA,MASASI TC,MIGONGO,MASASI DAY,S.426,S0648,GOVERNMENT,66,65,87,76,48,53,57,45,,,,,258,239,14,13,14,13,18.4,18.4,61,4.3289,8,8,2175,2783,MORE THAN 40
DAR ES SALAAM,UBUNGO,GOBA,KINZUDI,S.4260,S4612,GOVERNMENT,73,77,66,85,49,71,70,53,,,,,258,286,9,18,9,18,20.1,20.1,37,4.6137,9,9,3142,2975,MORE THAN 40
DAR ES SALAAM,UBUNGO,MBURAHATI,MBURAHATI,S.4261,S4480,GOVERNMENT,136,197,178,195,87,110,86,106,,,,,487,608,7,17,7,17,45.6,45.6,38,4.4979,8,9,2858,3031,MORE THAN 40
ARUSHA,MERU,IMBASENI,JUDE MOSHONO,S.4262,S4459,NON-GOVERNMENT,75,102,53,82,68,83,54,93,39,31,81,52,370,443,56,10,55,9,12.3,12.7,100,2.4709,3,4,106,134,MORE THAN 40
NJOMBE,MAKETE,UKWAMA,UKWAMA,S.4263,S4364,GOVERNMENT,34,43,22,18,29,13,8,17,,,,,93,91,16,2,16,2,10.2,10.2,56,4.3768,8,8,1081,880,LESS THAN 40
KAGERA,BUKOBA MC,KIBETA,KIBETA,S.4264,S4327,GOVERNMENT,48,59,53,66,33,34,38,33,,,,,172,192,7,18,6,17,14.6,15.8,81,3.9464,6,7,916,1074,MORE THAN 40
KAGERA,BUKOBA MC,NYANGA,NYANGA,S.4265,S4328,GOVERNMENT,21,29,8,12,9,9,6,9,,,,,44,59,17,4,17,4,4.9,4.9,90,4.0311,7,7,536,630,LESS THAN 40
KAGERA,BUKOBA MC,NSHAMBYA,NSHAMBYA,S.4266,S4329,GOVERNMENT,66,62,30,39,18,17,25,26,,,,,139,144,15,10,15,10,11.3,11.3,100,3.9213,6,7,391,907,LESS THAN 40
KAGERA,BUKOBA MC,KAHORORO,RUTUNGA,S.4267,S4326,GOVERNMENT,44,28,15,18,18,18,16,10,,,,,93,74,16,5,16,5,8.0,8.0,90,4.0401,7,8,544,2778,LESS THAN 40
KAGERA,BUKOBA MC,BAKOBA,BAKOBA,S.4268,,GOVERNMENT,27,25,53,70,50,45,45,41,,,,,175,181,11,7,8,5,19.8,27.4,,,,,,,
KAGERA,BUKOBA MC,KAGONDO,RWAZI,S.4269,S4331,GOVERNMENT,39,38,16,21,11,7,26,28,,,,,92,94,16,5,14,5,8.9,9.8,76,4.3255,8,9,1015,982,LESS THAN 40
TANGA,TANGA CC,CENTRAL,MKWAKWANI,S.427,S0672,GOVERNMENT,145,145,144,155,108,155,119,117,,,,,516,572,23,28,23,28,21.3,21.3,74,3.9256,6,7,877,1418,MORE THAN 40
NJOMBE,MAKETE,MBALATSE,MBALATSE,S.4270,S4365,GOVERNMENT,23,19,16,13,9,24,8,12,,,,,56,68,11,3,10,3,8.9,9.5,59,4.1823,7,7,791,506,LESS THAN 40
TANGA,TANGA CC,KIRARE,KIRARE,S.4271,S5063,GOVERNMENT,13,17,14,12,3,13,8,16,,,,,38,58,13,5,9,3,5.3,8.0,35,4.671,9,8,1387,935,LESS THAN 40
IRINGA,IRINGA,LUHOTA,ST. THOMAS NYABULA,S.4272,S4860,NON-GOVERNMENT,55,59,47,23,47,41,33,16,,,,,182,139,12,7,9,6,16.9,21.4,100,3.1368,5,4,282,188,MORE THAN 40
KAGERA,BUKOBA MC,IJUGANYONDO,JOSIAH GIRLS,S.4273,S3241,NON-GOVERNMENT,0,96,0,62,0,92,0,67,0,36,0,7,0,360,13,5,10,5,20.0,24.0,100,2.4295,3,2,94,17,MORE THAN 40
DODOMA,KONGWA,KONGWA,MT. FRANCISCO WA ASSISI (GIRLS),S.4274,S4601,NON-GOVERNMENT,0,112,0,107,0,127,0,86,,,,,0,432,16,4,16,4,21.6,21.6,100,2.3882,3,3,82,95,MORE THAN 40
MOROGORO,MOROGORO,TOMONDO,TOMONDO,S.4276,S4984,GOVERNMENT,53,44,48,57,19,10,9,18,,,,,129,129,14,7,14,7,12.3,12.3,47,4.5047,9,10,2882,3415,MORE THAN 40
MARA,TARIME,KEMAMBO,KEMAMBO,S.4277,S4368,GOVERNMENT,53,37,32,24,19,18,24,12,,,,,128,91,6,4,6,4,21.9,21.9,84,4.1145,7,7,662,1778,LESS THAN 40
MARA,TARIME TC,NYAMISANGURA,NYAMISANGURA,S.4278,S4369,GOVERNMENT,152,143,112,114,98,80,101,94,,,,,463,431,28,15,28,14,20.8,21.3,77,4.2049,7,7,1654,1745,MORE THAN 40
MARA,TARIME,MWEMA,KOROTAMBE,S.4279,S4370,GOVERNMENT,75,51,37,17,36,24,20,11,,,,,168,103,11,2,10,2,20.8,22.6,70,4.1377,7,9,709,3248,LESS THAN 40
DAR ES SALAAM,TEMEKE MC,YOMBO VITUKA,VITUKA,S.428,S0645,NON-GOVERNMENT,3,2,10,7,13,6,10,15,2,0,6,0,44,30,8,0,8,0,9.3,9.3,45,4.5341,9,9,2967,3039,MORE THAN 40
MARA,TARIME,SIRARI,SIRARI,S.4280,S4371,GOVERNMENT,211,182,187,157,145,95,115,81,,,,,658,515,23,10,18,10,35.5,41.9,77,4.075,7,7,1233,1336,MORE THAN 40
MWANZA,UKEREWE,KAKEREGE,KAKEREGE,S.4281,S4342,GOVERNMENT,99,63,131,113,59,51,48,43,,,,,337,270,16,11,11,7,22.5,33.7,71,4.2653,7,8,1913,2853,MORE THAN 40
KAGERA,NGARA,RULENGE,RHEC,S.4282,S4363,NON-GOVERNMENT,14,19,28,36,46,41,46,26,,,,,134,122,13,2,7,0,17.1,36.6,100,3.3994,5,5,402,287,MORE THAN 40
MARA,RORYA,MIRARE,GIRANGO,S.4284,S4340,NON-GOVERNMENT,37,32,39,54,47,57,29,46,13,2,4,3,169,194,11,1,10,1,30.3,33.0,100,3.0399,5,0,246,0,MORE THAN 40
SINGIDA,SINGIDA MC,UNYAMIKUMBI,MUFUMBU,S.4285,S4367,GOVERNMENT,23,34,24,14,19,22,23,18,,,,,89,88,13,7,13,7,8.9,8.9,66,4.2479,7,7,1844,650,MORE THAN 40
PWANI,MKURANGA,BETA,KIIMBWANINDI,S.4286,S4372,GOVERNMENT,65,73,34,18,35,31,21,22,,,,,155,144,12,10,12,10,13.6,13.6,48,4.3147,8,9,2120,3246,MORE THAN 40
PWANI,MKURANGA,VIANZI,KISIMA,S.4287,S4373,GOVERNMENT,127,14,46,10,35,5,7,13,,,,,215,42,10,15,10,15,10.3,10.3,39,4.5506,9,9,1302,1008,LESS THAN 40
PWANI,MKURANGA,TENGELEA,TENGELEA,S.4288,S4374,GOVERNMENT,82,95,67,48,27,34,31,22,,,,,207,199,12,14,6,7,15.6,31.2,47,4.6078,9,8,1350,881,LESS THAN 40
GEITA,CHATO,BWANGA,MAGUFULI,S.4289,,GOVERNMENT,,,,,,,,,81,0,81,0,162,0,10,2,10,2,13.5,13.5,,,,,,,
ARUSHA,MERU,NKOARANGA,NKOARANGA,S.429,S0646,NON-GOVERNMENT,7,15,26,32,25,31,35,29,,,,,93,107,8,2,7,2,20.0,22.2,81,4.141,7,7,1436,890,MORE THAN 40
GEITA,CHATO,MUUNGANO,JIKOMBOE,S.4290,,GOVERNMENT,,,,,,,,,0,123,0,107,0,230,7,10,7,10,13.5,13.5,,,,,,,
GEITA,CHATO,BWINA,BWINA,S.4291,S4382,GOVERNMENT,67,55,56,56,48,28,30,23,,,,,201,162,18,6,18,6,15.1,15.1,81,4.0845,7,8,1264,2164,MORE THAN 40
TANGA,KOROGWE TC,KWAMSISI,JOEL BENDERA,S.4292,S5068,GOVERNMENT,33,35,44,37,20,25,11,14,,,,,108,111,16,12,16,12,7.8,7.8,40,4.4594,8,9,2717,3247,MORE THAN 40
MOROGORO,MOROGORO MC,MLIMANI,BUNGODIMWE,S.4293,S4397,GOVERNMENT,23,32,12,21,6,24,16,16,,,,,57,93,19,9,19,9,5.4,5.4,35,4.6814,9,10,3222,1154,MORE THAN 40
MARA,TARIME,NYARERO,INCHAGE,S.4294,S4414,GOVERNMENT,28,28,33,13,29,18,13,23,,,,,103,82,13,1,13,1,13.2,13.2,69,4.258,7,8,914,2234,LESS THAN 40
ARUSHA,MERU,AMBURENI,LONANGE,S.4295,S4394,NON-GOVERNMENT,3,8,5,10,10,8,11,22,,,,,29,48,5,3,2,3,9.6,15.4,100,3.6674,6,7,216,386,LESS THAN 40
MBEYA,MBEYA,IWINDI,MWASELELA,S.4296,S5043,GOVERNMENT,53,48,43,55,27,35,22,32,,,,,145,170,15,9,12,5,13.1,18.5,39,4.5875,9,8,3100,2753,MORE THAN 40
MANYARA,MBULU,MASQARODA,BISHOP NICODEMUS HHANDO,S.4297,S4962,GOVERNMENT,45,58,29,52,18,53,32,32,,,,,124,195,15,7,15,7,14.5,14.5,92,3.7187,6,6,611,541,MORE THAN 40
KAGERA,MULEBA,NSHAMBA,BUNYAGONGO,S.4298,S4409,GOVERNMENT,42,48,38,38,18,42,32,40,,,,,130,168,14,9,14,9,13.0,13.0,92,4.1944,7,7,815,1557,LESS THAN 40
MANYARA,SIMANJIRO,RUVU REMIT,RUVU REMMIT,S.4299,S4420,GOVERNMENT,21,11,24,16,18,9,7,3,,,,,70,39,13,2,13,2,7.3,7.3,57,4.3181,8,7,1005,511,LESS THAN 40
KAGERA,BUKOBA MC,KASHAI,KAHORORO,S.43,,GOVERNMENT,,,,,,,,,266,0,249,0,515,0,24,7,23,7,16.6,17.2,,,,,,,
ARUSHA,MERU,NGARENANYUKI,NGARENANYUKI,S.430,S0647,NON-GOVERNMENT,44,38,44,66,73,99,31,53,,,,,192,256,7,4,2,2,40.7,112.0,98,3.496,5,4,452,226,MORE THAN 40
KATAVI,MLELE,UTENDE,UTENDE,S.4300,S4674,GOVERNMENT,38,38,46,15,26,10,8,3,,,,,118,66,16,5,16,5,8.8,8.8,89,3.8172,6,6,302,209,LESS THAN 40
MANYARA,BABATI TC,BAGARA,KOMOTO,S.4301,S5036,GOVERNMENT,61,69,65,88,64,73,68,82,,,,,258,312,25,27,25,27,11.0,11.0,68,4.1358,7,7,1418,1327,MORE THAN 40
TABORA,TABORA MC,IKOMWA,IKOMWA,S.4302,S4412,GOVERNMENT,33,31,23,12,4,3,7,2,0,0,,,67,48,12,5,11,5,6.8,7.2,79,4.1683,7,8,764,958,LESS THAN 40
TANGA,LUSHOTO,KWEKANGA,BERNARD MEMBE,S.4303,S4774,GOVERNMENT,27,48,20,31,17,29,6,11,,,,,70,119,8,3,8,3,17.2,17.2,73,4.2679,7,8,926,914,LESS THAN 40
TANGA,LUSHOTO,MANOLO,NYWELO,S.4304,S4469,GOVERNMENT,17,27,41,58,6,15,6,15,,,,,70,115,6,7,2,3,14.2,37.0,50,4.5238,9,9,1265,3201,LESS THAN 40
TANGA,LUSHOTO,SHUME,HAMBALAWEI,S.4305,S4442,GOVERNMENT,16,37,6,15,9,14,10,4,,,,,41,70,10,7,10,7,6.5,6.5,73,4.2738,7,10,934,1142,LESS THAN 40
TANGA,LUSHOTO,MAGAMBA,PRINCE CLAUS,S.4306,S4775,GOVERNMENT,28,34,18,25,15,30,19,20,,,,,80,109,11,6,7,6,11.1,14.5,41,4.5209,9,8,2929,2507,MORE THAN 40
RUVUMA,MADABA,MATUMBI,IFINGA,S.4307,S4990,GOVERNMENT,7,5,12,7,11,2,3,8,,,,,33,22,8,1,8,1,6.1,6.1,57,4.5386,9,7,1286,369,LESS THAN 40
KIGOMA,KASULU TC,KUMSENGA,ST.FRANCIS XAVIER,S.4308,S4423,NON-GOVERNMENT,118,73,82,45,89,33,51,23,,,,,340,174,13,6,5,2,27.1,73.4,100,2.4948,3,3,110,97,MORE THAN 40
MBEYA,KYELA,NDOBO,NDOBO,S.4309,S4421,GOVERNMENT,108,82,49,71,60,44,46,18,,,,,263,215,22,8,22,8,15.9,15.9,49,4.5223,9,9,2935,3257,MORE THAN 40
SINGIDA,MANYONI,MKWESE,MKWESE,S.431,S0649,NON-GOVERNMENT,10,12,14,13,14,8,16,4,,,,,54,37,7,0,3,0,13.0,30.3,90,3.7663,6,7,270,525,LESS THAN 40
TABORA,IGUNGA,IGUNGA,HANIHANI,S.4310,S4498,GOVERNMENT,94,66,112,90,74,60,50,43,,,,,330,259,14,13,13,12,21.8,23.6,64,4.3259,8,9,2162,2907,MORE THAN 40
MWANZA,MISUNGWI,FELLA,NYABUMHANDA,S.4311,S5183,GOVERNMENT,43,25,27,32,18,16,18,13,,,,,106,86,12,6,12,6,10.7,10.7,74,4.1802,7,10,787,3413,LESS THAN 40
DAR ES SALAAM,ILALA MC,PUGU STATION,MAIN GREENHILL,S.4312,S2846,NON-GOVERNMENT,29,37,44,54,47,40,51,48,,,,,171,179,11,5,11,5,21.9,21.9,99,3.2673,5,5,342,294,MORE THAN 40
MARA,BUTIAMA,KUKIRANGO,KIABAKARI,S.4313,S4439,GOVERNMENT,115,109,136,72,71,43,52,26,,,,,374,250,10,10,10,10,31.2,31.2,98,3.9224,6,8,867,2230,MORE THAN 40
MARA,MUSOMA,RUSOLI,RUSOLI,S.4314,S4440,GOVERNMENT,71,46,52,25,33,8,30,14,,,,,186,93,10,8,10,8,15.5,15.5,67,4.3099,8,9,2098,3040,MORE THAN 40
SINGIDA,MKALAMA,NKALAKALA,MALAJA,S.4315,S3319,GOVERNMENT,16,29,11,26,5,4,,,,,,,32,59,5,1,5,1,15.2,15.2,20,4.85,10,9,1433,1023,LESS THAN 40
MOROGORO,KILOSA,KIDETE,KIDETE,S.4316,S4433,GOVERNMENT,14,14,14,9,3,10,6,8,,,,,37,41,9,3,9,3,6.5,6.5,76,4.272,7,7,930,582,LESS THAN 40
MOROGORO,KILOSA,VIDUNDA,VIDUNDA,S.4317,S4434,GOVERNMENT,10,36,14,23,7,8,9,9,,,,,40,76,9,2,9,2,10.5,10.5,52,4.5423,9,7,1292,439,LESS THAN 40
MOROGORO,KILOSA,LUMBIJI,LUMBIJI,S.4318,S4435,GOVERNMENT,13,18,7,9,8,6,6,2,,,,,34,35,8,0,8,0,8.6,8.6,38,4.6112,9,9,1354,1074,LESS THAN 40
MOROGORO,KILOSA,KASIKI,DENDEGO,S.4319,S4436,GOVERNMENT,33,41,30,24,21,27,5,15,,,,,89,107,12,7,12,7,10.3,10.3,38,4.5022,9,9,2873,3181,MORE THAN 40
TABORA,SIKONGE,MISHENI,LUSANGI MORAVIAN JUNIOR SEMINARI,S.432,S0176,NON-GOVERNMENT,13,8,10,8,18,10,23,20,0,2,,,64,48,10,1,7,0,10.2,16.0,100,3.4639,5,6,148,553,LESS THAN 40
