REGION,DISTRICT,WARD,SCHOOL NAME,SCHOOL REG. NUMBER,NECTA EXAM CENTRE NO.,SCHOOL OWNERSHIP,Form 1-Boys,Form 1-Girls,Form 2-Boys,Form 2-Girls,Form 3-Boys,Form 3-Girls,Form 4-Boys,Form 4-Girls,Form 5-Boys,Form 5-Girls,Form 6-Boys,Form 6-Girls,Total Boys,Total Girls,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Pass Rate (2016),AVERAGE GPA 2016,BAND OF SCHOOL 2016,BAND OF SCHOOL 2015,RANK OF SCHOOL 2016,RANK OF SCHOOL 2015,Candidates
TANGA,TANGA CC,MZINGANI,KIHERE,S.2020,S2254,GOVERNMENT,131,150,168,202,111,128,79,72,,,,,489,552,26,19,26,19,23.1,23.1,41,4.6428,9,10,3186,3427,MORE THAN 40
TANGA,MUHEZA,POTWE,POTWE,S.2021,S2255,GOVERNMENT,22,16,45,56,28,28,18,28,,,,,113,128,20,5,18,5,9.6,10.5,67,4.4015,8,8,2461,2501,MORE THAN 40
TANGA,MKINGA,MANZA,MANZA,S.2022,S2256,GOVERNMENT,23,23,40,47,22,19,12,18,,,,,97,107,15,6,15,6,9.7,9.7,59,4.2652,7,8,1912,1891,MORE THAN 40
TANGA,BUMBULI,MBUZII,MBUZII,S.2023,S2250,GOVERNMENT,38,64,56,70,29,42,17,40,,,,,140,216,10,6,10,6,22.3,22.3,48,4.354,8,9,2273,3331,MORE THAN 40
TANGA,BUMBULI,MAYO,MAYO,S.2024,S2251,GOVERNMENT,55,61,79,65,23,28,11,10,,,,,168,164,10,1,10,1,30.2,30.2,50,4.4807,8,7,2791,1344,MORE THAN 40
TANGA,BUMBULI,MPONDE,MPONDE,S.2025,S2522,GOVERNMENT,33,38,33,45,21,28,7,7,,,,,94,118,9,2,9,2,19.3,19.3,72,4.297,7,8,973,885,LESS THAN 40
KILIMANJARO,MOSHI MC,MJI MPYA,MJI MPYA,S.2026,S2257,GOVERNMENT,109,90,118,108,78,90,85,81,,,,,390,369,25,24,23,24,15.5,16.1,46,4.5478,9,9,3002,2929,MORE THAN 40
KILIMANJARO,MOSHI MC,NJORO,REGINALD MENGI,S.2027,S2258,GOVERNMENT,100,102,96,102,83,87,73,95,,,,,352,386,20,39,19,36,12.5,13.4,89,4.017,7,8,1092,2545,MORE THAN 40
NJOMBE,MAKETE,IPEPO,IPEPO,S.2028,S3836,GOVERNMENT,26,35,26,29,19,28,15,22,,,,,86,114,10,2,10,2,16.7,16.7,91,3.9786,6,7,454,394,LESS THAN 40
NJOMBE,MAKETE,MLONDWE,MLONDWE,S.2029,S2550,GOVERNMENT,40,75,47,78,56,63,25,41,,,,,168,257,22,10,22,10,13.3,13.3,87,4.0796,7,7,1244,1143,MORE THAN 40
NJOMBE,MAKETE,LUWUMBU,USILILO,S.2030,S3683,GOVERNMENT,34,52,31,37,17,19,15,17,,,,,97,125,18,7,18,7,8.9,8.9,79,4.0568,7,7,575,354,LESS THAN 40
SINGIDA,MKALAMA,NDUGUTI,NDUGUTI,S.2031,S2204,GOVERNMENT,51,50,29,69,20,34,12,14,,,,,112,167,11,5,11,5,17.4,17.4,65,4.1534,7,7,1479,1450,MORE THAN 40
SINGIDA,MKALAMA,KINYANGIRI,KINYANGIRI,S.2032,S2205,GOVERNMENT,52,48,41,76,31,24,17,17,,,,,141,165,11,6,11,6,18.0,18.0,59,4.4455,8,8,2654,2771,MORE THAN 40
SINGIDA,ITIGI,ITIGI MJINI,KIMADOI,S.2033,S2192,GOVERNMENT,49,87,57,57,47,45,43,47,,,,,196,236,11,7,11,7,24.0,24.0,71,3.9875,6,7,1007,1260,MORE THAN 40
SINGIDA,MANYONI,KINTINKU,KINTINKU,S.2034,S2193,GOVERNMENT,49,56,35,32,31,33,15,19,,,,,130,140,8,3,7,3,24.5,27.0,25,4.7462,10,10,3256,3428,MORE THAN 40
SINGIDA,MANYONI,MAKURU,MAKURU,S.2035,S2194,GOVERNMENT,60,45,38,22,33,32,20,14,,,,,151,113,7,3,7,3,26.4,26.4,58,4.3017,8,8,2068,1966,MORE THAN 40
SINGIDA,MANYONI,NKONKO,NKONKO,S.2036,S2195,GOVERNMENT,35,24,28,14,23,10,10,9,,,,,96,57,6,2,6,2,19.1,19.1,64,4.1654,7,7,756,620,LESS THAN 40
SINGIDA,MANYONI,HEKA,HEKA,S.2037,S2196,GOVERNMENT,57,38,33,26,24,14,20,13,,,,,134,91,13,1,13,1,16.1,16.1,52,4.4082,8,8,1126,835,LESS THAN 40
SINGIDA,MANYONI,MANYONI,MANYONI,S.2038,S2197,GOVERNMENT,70,86,110,102,66,52,46,41,,,,,292,281,17,15,6,8,17.9,40.9,50,4.408,8,7,2496,1205,MORE THAN 40
SINGIDA,IKUNGI,MISUGHAA,DR.ALI MOHAMED SHEIN,S.2039,S2175,GOVERNMENT,47,50,30,34,32,41,22,10,,,,,131,135,11,5,11,5,16.6,16.6,58,4.4306,8,9,2593,3049,MORE THAN 40
ARUSHA,ARUSHA,OLDONYOWASS,ARUSHA CATHOLIC SEMINARY,S.204,S0171,NON-GOVERNMENT,54,0,54,0,52,0,27,0,,,,,187,0,7,2,5,2,20.8,26.7,100,2.4234,3,3,31,18,LESS THAN 40
SINGIDA,IKUNGI,MUHINTIRI,MUHINTIRI,S.2041,S2177,GOVERNMENT,43,37,33,27,25,36,15,17,,,,,116,117,9,2,9,2,21.2,21.2,63,4.3011,8,6,979,803,LESS THAN 40
SINGIDA,IKUNGI,ISSUNA,ISSUNA,S.2042,S3878,GOVERNMENT,59,83,42,58,21,43,23,42,,,,,145,226,10,8,10,8,20.6,20.6,91,3.5405,6,6,481,604,MORE THAN 40
SINGIDA,IKUNGI,NTUNTU,NTUNTU,S.2043,S2179,GOVERNMENT,70,63,60,75,39,38,22,14,,,,,191,190,8,4,8,4,31.8,31.8,53,4.2631,7,7,1908,873,MORE THAN 40
